time,Hips,Hips,Spine,Chest,Neck,Head,LeftEye,RightEye,LeftShoulder,LeftUpperArm,LeftLowerArm,LeftHand,RightShoulder,RightUpperArm,RightLowerArm,RightHand,LeftUpperLeg,LeftLowerLeg,LeftFoot,LeftToes,RightUpperLeg,RightLowerLeg,RightFoot,RightToes
0.333269,0.013479 1.062050 -0.007428,356.992 334.809 354.205,3.398 4.645 0.853,0.000 0.000 0.000,7.670 8.955 1.723,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.626 39.956 82.144,358.640 36.535 358.893,0.000 0.000 0.000,0.000 0.000 0.000,20.508 335.083 283.006,359.089 337.802 0.583,0.000 0.000 0.000,343.536 25.807 4.309,36.566 1.824 1.686,0.000 0.000 0.000,0.000 0.000 0.000,347.826 21.250 6.613,42.747 357.602 357.728,0.000 0.000 0.000,0.000 0.000 0.000
0.366798,0.010656 1.062050 -0.007428,357.296 335.545 354.292,3.394 4.912 0.902,0.000 0.000 0.000,7.362 8.428 1.573,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,17.947 40.048 81.855,358.645 36.348 358.900,0.000 0.000 0.000,0.000 0.000 0.000,20.033 335.028 283.318,359.075 337.415 0.596,0.000 0.000 0.000,343.833 24.909 4.206,36.387 1.810 1.673,0.000 0.000 0.000,0.000 0.000 0.000,347.948 20.672 6.603,42.731 357.604 357.729,0.000 0.000 0.000,0.000 0.000 0.000
0.399995,0.007911 1.062050 -0.007428,357.595 336.274 354.385,3.390 5.164 0.949,0.000 0.000 0.000,7.063 7.908 1.420,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,17.305 40.139 81.547,358.649 36.186 358.907,0.000 0.000 0.000,0.000 0.000 0.000,19.566 334.947 283.603,359.061 337.030 0.609,0.000 0.000 0.000,344.116 24.021 4.100,36.216 1.797 1.660,0.000 0.000 0.000,0.000 0.000 0.000,348.066 20.097 6.592,42.716 357.605 357.731,0.000 0.000 0.000,0.000 0.000 0.000
0.433562,0.002281 1.066620 -0.007428,357.932 336.879 354.691,3.393 5.013 0.921,0.000 0.000 0.000,7.337 9.784 1.977,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,17.885 41.757 81.495,358.632 36.831 358.880,0.000 0.000 0.000,0.000 0.000 0.000,19.014 334.956 283.674,359.066 337.152 0.605,0.000 0.000 0.000,344.687 23.593 3.997,35.924 1.774 1.638,0.000 0.000 0.000,0.000 0.000 0.000,348.422 20.174 6.905,42.326 357.644 357.768,0.000 0.000 0.000,0.000 0.000 0.000
0.46663,-0.003187 1.071057 -0.007428,358.259 337.489 355.000,3.395 4.842 0.889,0.000 0.000 0.000,7.573 11.752 2.578,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.471 43.279 81.458,358.615 37.511 358.852,0.000 0.000 0.000,0.000 0.000 0.000,18.473 334.979 283.737,359.070 337.268 0.601,0.000 0.000 0.000,345.241 23.147 3.893,35.643 1.753 1.618,0.000 0.000 0.000,0.000 0.000 0.000,348.761 20.240 7.210,41.951 357.680 357.804,0.000 0.000 0.000,0.000 0.000 0.000
0.499976,-0.008762 1.075582 -0.007428,358.586 338.128 355.323,3.398 4.645 0.853,0.000 0.000 0.000,7.774 13.883 3.243,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,19.080 44.759 81.435,358.596 38.248 358.821,0.000 0.000 0.000,0.000 0.000 0.000,17.923 335.015 283.794,359.074 337.382 0.597,0.000 0.000 0.000,345.800 22.669 3.783,35.363 1.732 1.597,0.000 0.000 0.000,0.000 0.000 0.000,349.096 20.299 7.517,41.577 357.716 357.839,0.000 0.000 0.000,0.000 0.000 0.000
0.533421,-0.011582 1.075582 -0.007428,358.625 337.818 355.269,3.393 4.983 0.916,0.000 0.000 0.000,7.719 13.586 3.624,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.939 44.312 81.523,358.602 38.017 358.831,0.000 0.000 0.000,0.000 0.000 0.000,17.637 335.026 283.661,359.069 337.244 0.602,0.000 0.000 0.000,345.547 22.304 4.143,35.271 1.725 1.591,0.000 0.000 0.000,0.000 0.000 0.000,348.903 19.692 7.705,41.016 357.769 357.891,0.000 0.000 0.000,0.000 0.000 0.000
0.566797,-0.014355 1.075582 -0.007428,358.663 337.513 355.215,3.387 5.315 0.976,0.000 0.000 0.000,7.666 13.311 4.005,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.801 43.864 81.613,358.608 37.791 358.840,0.000 0.000 0.000,0.000 0.000 0.000,17.356 335.033 283.529,359.064 337.104 0.606,0.000 0.000 0.000,345.299 21.944 4.505,35.187 1.718 1.585,0.000 0.000 0.000,0.000 0.000 0.000,348.717 19.077 7.899,40.471 357.820 357.940,0.000 0.000 0.000,0.000 0.000 0.000
0.599987,-0.017098 1.075582 -0.007428,358.701 337.213 355.162,3.382 5.643 1.036,0.000 0.000 0.000,7.615 13.057 4.386,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.663 43.410 81.703,358.613 37.571 358.850,0.000 0.000 0.000,0.000 0.000 0.000,17.078 335.035 283.396,359.059 336.962 0.611,0.000 0.000 0.000,345.056 21.589 4.871,35.108 1.713 1.579,0.000 0.000 0.000,0.000 0.000 0.000,348.537 18.450 8.102,39.942 357.868 357.987,0.000 0.000 0.000,0.000 0.000 0.000
0.633486,-0.022730 1.071011 -0.007428,358.704 337.868 355.533,3.387 5.347 0.982,0.000 0.000 0.000,7.023 15.425 5.640,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,19.263 42.575 82.010,358.627 37.041 358.872,0.000 0.000 0.000,0.000 0.000 0.000,16.970 335.379 283.364,359.092 337.902 0.579,0.000 0.000 0.000,345.659 21.663 5.099,34.434 1.663 1.531,0.000 0.000 0.000,0.000 0.000 0.000,349.128 18.345 8.106,39.066 357.945 358.062,0.000 0.000 0.000,0.000 0.000 0.000
