time,Hips,Hips,Spine,Chest,Neck,Head,LeftEye,RightEye,LeftShoulder,LeftUpperArm,LeftLowerArm,LeftHand,RightShoulder,RightUpperArm,RightLowerArm,RightHand,LeftUpperLeg,LeftLowerLeg,LeftFoot,LeftToes,RightUpperLeg,RightLowerLeg,RightFoot,RightToes
1.466672,-0.050444 1.030518 -0.007428,357.176 345.899 0.924,3.337 7.732 1.418,0.000 0.000 0.000,5.380 15.933 1.201,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.569 35.059 79.539,358.774 31.749 359.084,0.000 0.000 0.000,0.000 0.000 0.000,303.769 23.518 325.366,358.302 277.610 3.286,0.000 0.000 0.000,353.324 16.974 4.312,33.652 1.606 1.477,0.000 0.000 0.000,0.000 0.000 0.000,353.766 16.465 10.329,37.466 358.080 358.193,0.000 0.000 0.000,0.000 0.000 0.000
1.49991,-0.050444 1.034987 -0.007428,356.871 346.501 0.988,3.354 7.033 1.291,0.000 0.000 0.000,4.976 15.829 1.390,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.645 36.149 79.908,358.792 31.161 359.107,0.000 0.000 0.000,0.000 0.000 0.000,298.438 9.607 339.592,358.239 284.883 2.936,0.000 0.000 0.000,353.652 17.415 4.503,33.210 1.575 1.448,0.000 0.000 0.000,0.000 0.000 0.000,353.973 15.801 10.038,37.473 358.080 358.193,0.000 0.000 0.000,0.000 0.000 0.000
1.533338,-0.050444 1.039544 -0.007428,356.600 346.413 1.002,3.368 6.376 1.170,0.000 0.000 0.000,4.616 15.254 1.733,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.685 37.820 80.324,358.813 30.462 359.133,0.000 0.000 0.000,0.000 0.000 0.000,296.485 356.092 352.583,358.221 289.900 2.691,0.000 0.000 0.000,353.843 18.392 4.731,33.142 1.570 1.443,0.000 0.000 0.000,0.000 0.000 0.000,354.474 16.735 10.233,37.198 358.102 358.215,0.000 0.000 0.000,0.000 0.000 0.000
1.566723,-0.050444 1.044065 -0.007428,356.330 346.327 1.017,3.380 5.719 1.050,0.000 0.000 0.000,4.267 14.733 2.107,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.720 39.513 80.749,358.834 29.774 359.160,0.000 0.000 0.000,0.000 0.000 0.000,296.117 342.139 6.014,358.225 294.610 2.460,0.000 0.000 0.000,354.025 19.357 4.960,33.084 1.566 1.439,0.000 0.000 0.000,0.000 0.000 0.000,354.961 17.666 10.440,36.939 358.123 358.235,0.000 0.000 0.000,0.000 0.000 0.000
1.599898,-0.050444 1.048518 -0.007428,356.063 346.243 1.033,3.392 5.068 0.931,0.000 0.000 0.000,3.931 14.265 2.508,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.750 41.217 81.180,358.855 29.101 359.185,0.000 0.000 0.000,0.000 0.000 0.000,297.108 329.627 18.033,358.244 298.861 2.253,0.000 0.000 0.000,354.197 20.302 5.190,33.037 1.563 1.436,0.000 0.000 0.000,0.000 0.000 0.000,355.429 18.588 10.655,36.696 358.143 358.254,0.000 0.000 0.000,0.000 0.000 0.000
1.633311,-0.044840 1.053067 -0.007428,356.151 346.211 1.032,3.398 4.694 0.862,0.000 0.000 0.000,3.687 14.725 2.613,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.414 41.465 80.900,358.851 29.228 359.180,0.000 0.000 0.000,0.000 0.000 0.000,296.973 323.679 20.646,358.239 298.092 2.290,0.000 0.000 0.000,354.360 20.500 5.150,32.560 1.530 1.404,0.000 0.000 0.000,0.000 0.000 0.000,356.331 18.723 10.494,35.493 358.237 358.345,0.000 0.000 0.000,0.000 0.000 0.000
1.666614,-0.039346 1.057526 -0.007428,356.238 346.180 1.031,3.403 4.324 0.795,0.000 0.000 0.000,3.443 15.177 2.718,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.080 41.708 80.624,358.847 29.354 359.175,0.000 0.000 0.000,0.000 0.000 0.000,297.228 318.556 22.758,358.233 296.975 2.344,0.000 0.000 0.000,354.518 20.695 5.110,32.093 1.498 1.374,0.000 0.000 0.000,0.000 0.000 0.000,357.204 18.847 10.338,34.323 358.325 358.431,0.000 0.000 0.000,0.000 0.000 0.000
1.699891,-0.033771 1.062050 -0.007428,356.326 346.152 1.030,3.408 3.952 0.726,0.000 0.000 0.000,3.195 15.628 2.822,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.741 41.952 80.346,358.843 29.480 359.171,0.000 0.000 0.000,0.000 0.000 0.000,297.839 314.211 24.367,358.227 295.541 2.414,0.000 0.000 0.000,354.673 20.892 5.070,31.627 1.467 1.344,0.000 0.000 0.000,0.000 0.000 0.000,358.063 18.962 10.184,33.165 358.409 358.512,0.000 0.000 0.000,0.000 0.000 0.000
1.733369,-0.033771 1.066622 -0.007428,356.579 345.280 1.054,3.404 4.217 0.775,0.000 0.000 0.000,2.790 16.742 3.234,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.406 42.421 80.338,358.830 29.893 359.155,0.000 0.000 0.000,0.000 0.000 0.000,299.275 314.978 23.108,358.220 291.393 2.617,0.000 0.000 0.000,355.061 20.739 4.452,31.215 1.439 1.318,0.000 0.000 0.000,0.000 0.000 0.000,358.190 19.968 9.904,32.877 358.430 358.532,0.000 0.000 0.000,0.000 0.000 0.000
1.766674,-0.033771 1.071116 -0.007428,356.831 344.426 1.072,3.401 4.484 0.824,0.000 0.000 0.000,2.382 17.822 3.632,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.074 42.877 80.332,358.818 30.303 359.139,0.000 0.000 0.000,0.000 0.000 0.000,300.789 315.689 21.958,358.227 287.421 2.812,0.000 0.000 0.000,355.410 20.566 3.839,30.830 1.414 1.294,0.000 0.000 0.000,0.000 0.000 0.000,358.310 20.956 9.628,32.595 358.450 358.551,0.000 0.000 0.000,0.000 0.000 0.000
1.799899,-0.033771 1.075581 -0.007428,357.086 343.585 1.084,3.397 4.755 0.874,0.000 0.000 0.000,1.968 18.873 4.017,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.744 43.325 80.327,358.805 30.711 359.124,0.000 0.000 0.000,0.000 0.000 0.000,302.358 316.336 20.919,358.246 283.655 2.995,0.000 0.000 0.000,355.723 20.373 3.230,30.470 1.391 1.272,0.000 0.000 0.000,0.000 0.000 0.000,358.423 21.932 9.352,32.318 358.469 358.569,0.000 0.000 0.000,0.000 0.000 0.000
1.833292,-0.033771 1.071037 -0.007428,357.177 343.133 1.175,3.390 5.176 0.951,0.000 0.000 0.000,1.989 17.892 4.232,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.555 43.527 80.522,358.803 30.790 359.121,0.000 0.000 0.000,0.000 0.000 0.000,301.709 317.157 20.212,358.248 283.396 3.008,0.000 0.000 0.000,356.116 19.843 2.616,30.120 1.368 1.250,0.000 0.000 0.000,0.000 0.000 0.000,358.970 21.332 8.610,31.950 358.494 358.594,0.000 0.000 0.000,0.000 0.000 0.000
1.866701,-0.033771 1.066508 -0.007428,357.270 342.686 1.266,3.383 5.592 1.027,0.000 0.000 0.000,2.021 16.906 4.447,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.365 43.733 80.718,358.800 30.870 359.118,0.000 0.000 0.000,0.000 0.000 0.000,301.072 318.002 19.482,358.250 283.139 3.020,0.000 0.000 0.000,356.487 19.284 1.992,29.783 1.347 1.230,0.000 0.000 0.000,0.000 0.000 0.000,359.481 20.709 7.861,31.604 358.518 358.616,0.000 0.000 0.000,0.000 0.000 0.000
1.899841,-0.033771 1.062050 -0.007428,357.364 342.248 1.355,3.375 6.000 1.102,0.000 0.000 0.000,2.061 15.928 4.660,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.176 43.941 80.913,358.798 30.949 359.115,0.000 0.000 0.000,0.000 0.000 0.000,300.452 318.864 18.735,358.252 282.886 3.033,0.000 0.000 0.000,356.831 18.700 1.365,29.463 1.327 1.211,0.000 0.000 0.000,0.000 0.000 0.000,359.952 20.073 7.112,31.285 358.539 358.637,0.000 0.000 0.000,0.000 0.000 0.000
1.933356,-0.033771 1.057486 -0.007428,357.239 342.348 1.385,3.381 5.690 1.045,0.000 0.000 0.000,2.267 16.230 4.715,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.971 44.157 81.591,358.801 30.848 359.119,0.000 0.000 0.000,0.000 0.000 0.000,298.439 318.379 20.305,358.230 286.642 2.850,0.000 0.000 0.000,357.070 18.709 1.403,29.197 1.310 1.195,0.000 0.000 0.000,0.000 0.000 0.000,0.083 19.927 7.146,31.237 358.543 358.640,0.000 0.000 0.000,0.000 0.000 0.000
1.966664,-0.033771 1.052984 -0.007428,357.116 342.445 1.414,3.386 5.383 0.989,0.000 0.000 0.000,2.469 16.532 4.771,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.748 44.362 82.252,358.804 30.759 359.122,0.000 0.000 0.000,0.000 0.000 0.000,296.605 317.764 22.024,358.221 290.338 2.669,0.000 0.000 0.000,357.306 18.721 1.441,28.934 1.294 1.180,0.000 0.000 0.000,0.000 0.000 0.000,0.212 19.783 7.179,31.190 358.546 358.643,0.000 0.000 0.000,0.000 0.000 0.000
1.999847,-0.033771 1.048518 -0.007428,356.994 342.543 1.442,3.391 5.078 0.933,0.000 0.000 0.000,2.669 16.836 4.828,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.510 44.556 82.898,358.806 30.680 359.125,0.000 0.000 0.000,0.000 0.000 0.000,294.958 317.033 23.884,358.223 293.937 2.493,0.000 0.000 0.000,357.541 18.734 1.479,28.671 1.277 1.164,0.000 0.000 0.000,0.000 0.000 0.000,0.339 19.640 7.212,31.144 358.549 358.646,0.000 0.000 0.000,0.000 0.000 0.000
2.033297,-0.033771 1.053080 -0.007428,356.741 342.515 1.515,3.391 5.081 0.933,0.000 0.000 0.000,2.679 15.334 4.679,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,25.232 45.216 83.661,358.823 30.126 359.146,0.000 0.000 0.000,0.000 0.000 0.000,295.513 316.069 26.681,358.231 296.408 2.372,0.000 0.000 0.000,357.831 18.805 1.507,28.611 1.274 1.161,0.000 0.000 0.000,0.000 0.000 0.000,1.097 19.837 7.306,30.653 358.581 358.678,0.000 0.000 0.000,0.000 0.000 0.000
2.066516,-0.033771 1.057531 -0.007428,356.492 342.486 1.587,3.391 5.086 0.934,0.000 0.000 0.000,2.693 13.833 4.531,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,25.928 45.885 84.431,358.840 29.583 359.167,0.000 0.000 0.000,0.000 0.000 0.000,296.231 315.332 29.283,358.244 298.893 2.251,0.000 0.000 0.000,358.116 18.877 1.536,28.551 1.270 1.157,0.000 0.000 0.000,0.000 0.000 0.000,1.842 20.039 7.403,30.171 358.613 358.708,0.000 0.000 0.000,0.000 0.000 0.000
2.099803,-0.033771 1.062050 -0.007428,356.242 342.453 1.660,3.391 5.092 0.936,0.000 0.000 0.000,2.708 12.297 4.379,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,26.615 46.579 85.227,358.857 29.037 359.187,0.000 0.000 0.000,0.000 0.000 0.000,297.133 314.854 31.712,358.263 301.447 2.127,0.000 0.000 0.000,358.403 18.954 1.566,28.490 1.266 1.154,0.000 0.000 0.000,0.000 0.000 0.000,2.593 20.250 7.507,29.682 358.645 358.738,0.000 0.000 0.000,0.000 0.000 0.000
2.133294,-0.033771 1.062050 -0.007428,356.148 342.829 1.677,3.385 5.482 1.007,0.000 0.000 0.000,2.321 12.279 3.866,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,26.443 46.438 85.165,358.871 28.583 359.204,0.000 0.000 0.000,0.000 0.000 0.000,297.359 314.861 31.438,358.262 301.383 2.130,0.000 0.000 0.000,358.890 18.715 1.585,28.017 1.238 1.127,0.000 0.000 0.000,0.000 0.000 0.000,3.054 20.244 7.663,29.170 358.677 358.769,0.000 0.000 0.000,0.000 0.000 0.000
2.166607,-0.033771 1.062050 -0.007428,356.056 343.203 1.693,3.377 5.873 1.078,0.000 0.000 0.000,1.950 12.248 3.346,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,26.278 46.309 85.107,358.885 28.136 359.221,0.000 0.000 0.000,0.000 0.000 0.000,297.584 314.858 31.173,358.262 301.315 2.134,0.000 0.000 0.000,359.371 18.479 1.604,27.552 1.210 1.100,0.000 0.000 0.000,0.000 0.000 0.000,3.505 20.246 7.823,28.666 358.709 358.800,0.000 0.000 0.000,0.000 0.000 0.000
2.199853,-0.033771 1.062050 -0.007428,355.964 343.579 1.709,3.370 6.269 1.151,0.000 0.000 0.000,1.594 12.206 2.814,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,26.117 46.190 85.050,358.900 27.692 359.237,0.000 0.000 0.000,0.000 0.000 0.000,297.807 314.843 30.913,358.261 301.243 2.137,0.000 0.000 0.000,359.847 18.244 1.625,27.089 1.183 1.075,0.000 0.000 0.000,0.000 0.000 0.000,3.950 20.255 7.987,28.167 358.740 358.829,0.000 0.000 0.000,0.000 0.000 0.000
2.233161,-0.033771 1.062050 -0.007428,356.049 344.188 1.719,3.369 6.328 1.162,0.000 0.000 0.000,1.392 14.112 2.449,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,25.543 44.688 84.145,358.915 27.203 359.255,0.000 0.000 0.000,0.000 0.000 0.000,298.184 312.537 31.705,358.259 301.017 2.148,0.000 0.000 0.000,359.817 17.619 1.527,27.172 1.187 1.079,0.000 0.000 0.000,0.000 0.000 0.000,3.713 19.859 7.961,28.187 358.738 358.828,0.000 0.000 0.000,0.000 0.000 0.000
2.266633,-0.033771 1.062050 -0.007428,356.222 345.409 1.744,3.366 6.440 1.182,0.000 0.000 0.000,1.138 17.771 1.658,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.317 41.703 82.367,358.948 26.209 359.291,0.000 0.000 0.000,0.000 0.000 0.000,299.019 307.957 33.224,358.256 300.624 2.167,0.000 0.000 0.000,359.749 16.367 1.328,27.337 1.197 1.088,0.000 0.000 0.000,0.000 0.000 0.000,3.233 19.067 7.902,28.225 358.736 358.826,0.000 0.000 0.000,0.000 0.000 0.000
2.299844,-0.033771 1.062050 -0.007428,356.288 346.180 1.791,3.370 6.239 1.145,0.000 0.000 0.000,1.039 18.983 1.828,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.976 40.059 81.592,358.955 26.006 359.298,0.000 0.000 0.000,0.000 0.000 0.000,299.396 306.995 31.953,358.239 298.172 2.286,0.000 0.000 0.000,359.286 15.699 1.230,27.824 1.226 1.116,0.000 0.000 0.000,0.000 0.000 0.000,2.507 18.261 7.757,28.866 358.696 358.788,0.000 0.000 0.000,0.000 0.000 0.000
2.333127,-0.033771 1.062050 -0.007428,356.421 347.730 1.893,3.378 5.824 1.070,0.000 0.000 0.000,0.835 21.271 2.135,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.229 36.775 80.071,358.968 25.610 359.312,0.000 0.000 0.000,0.000 0.000 0.000,300.546 305.348 29.152,358.222 293.321 2.523,0.000 0.000 0.000,358.350 14.349 1.026,28.803 1.285 1.172,0.000 0.000 0.000,0.000 0.000 0.000,1.042 16.648 7.466,30.154 358.614 358.709,0.000 0.000 0.000,0.000 0.000 0.000
2.366678,-0.033771 1.062050 -0.007428,356.540 347.615 1.877,3.386 5.434 0.998,0.000 0.000 0.000,1.274 21.896 2.272,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.215 37.579 80.090,358.963 25.753 359.307,0.000 0.000 0.000,0.000 0.000 0.000,301.652 307.695 26.486,358.222 289.818 2.695,0.000 0.000 0.000,357.992 14.414 1.010,28.965 1.295 1.181,0.000 0.000 0.000,0.000 0.000 0.000,0.438 16.646 7.426,30.691 358.579 358.675,0.000 0.000 0.000,0.000 0.000 0.000
2.400281,-0.033771 1.062050 -0.007428,356.657 347.503 1.861,3.392 5.053 0.928,0.000 0.000 0.000,1.706 22.514 2.409,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.202 38.366 80.107,358.959 25.895 359.302,0.000 0.000 0.000,0.000 0.000 0.000,302.934 309.903 23.964,358.232 286.322 2.866,0.000 0.000 0.000,357.637 14.478 0.995,29.125 1.305 1.191,0.000 0.000 0.000,0.000 0.000 0.000,359.838 16.645 7.389,31.225 358.543 358.641,0.000 0.000 0.000,0.000 0.000 0.000
2.433165,-0.033771 1.062050 -0.007428,356.763 347.403 1.847,3.397 4.715 0.866,0.000 0.000 0.000,2.092 23.068 2.533,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.190 39.064 80.120,358.954 26.023 359.297,0.000 0.000 0.000,0.000 0.000 0.000,304.240 311.761 21.823,358.250 283.187 3.018,0.000 0.000 0.000,357.317 14.534 0.981,29.270 1.314 1.199,0.000 0.000 0.000,0.000 0.000 0.000,359.298 16.645 7.357,31.705 358.511 358.610,0.000 0.000 0.000,0.000 0.000 0.000
2.466604,-0.033771 1.062050 -0.007428,356.884 346.622 1.752,3.398 4.690 0.862,0.000 0.000 0.000,2.471 21.700 2.267,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.267 40.164 80.293,358.919 27.107 359.258,0.000 0.000 0.000,0.000 0.000 0.000,304.934 313.572 20.266,358.263 281.441 3.103,0.000 0.000 0.000,356.699 15.257 1.060,29.687 1.341 1.224,0.000 0.000 0.000,0.000 0.000 0.000,358.965 17.137 7.358,31.955 358.494 358.593,0.000 0.000 0.000,0.000 0.000 0.000
2.49996,-0.033771 1.062050 -0.007428,357.004 345.852 1.656,3.398 4.663 0.857,0.000 0.000 0.000,2.846 20.269 1.966,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.342 41.248 80.462,358.883 28.208 359.218,0.000 0.000 0.000,0.000 0.000 0.000,305.684 315.314 18.771,358.279 279.725 3.185,0.000 0.000 0.000,356.081 15.967 1.137,30.103 1.367 1.249,0.000 0.000 0.000,0.000 0.000 0.000,358.631 17.621 7.360,32.206 358.477 358.577,0.000 0.000 0.000,0.000 0.000 0.000
2.533141,-0.033771 1.062050 -0.007428,357.111 345.167 1.568,3.398 4.636 0.852,0.000 0.000 0.000,3.178 18.929 1.663,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.408 42.211 80.611,358.851 29.216 359.181,0.000 0.000 0.000,0.000 0.000 0.000,306.405 316.826 17.476,358.295 278.207 3.258,0.000 0.000 0.000,355.524 16.597 1.205,30.477 1.391 1.272,0.000 0.000 0.000,0.000 0.000 0.000,358.328 18.051 7.363,32.432 358.461 358.562,0.000 0.000 0.000,0.000 0.000 0.000
2.56665,-0.033771 1.052621 -0.007428,357.167 345.488 1.649,3.394 4.943 0.908,0.000 0.000 0.000,2.958 18.077 2.110,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.266 43.440 81.155,358.852 29.194 359.181,0.000 0.000 0.000,0.000 0.000 0.000,305.124 315.244 18.354,358.275 280.164 3.164,0.000 0.000 0.000,354.856 16.386 1.110,31.334 1.447 1.325,0.000 0.000 0.000,0.000 0.000 0.000,357.962 17.779 7.290,32.762 358.438 358.539,0.000 0.000 0.000,0.000 0.000 0.000
2.605783,-0.033771 1.041692 -0.007428,357.232 345.864 1.744,3.388 5.299 0.973,0.000 0.000 0.000,2.708 17.049 2.622,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.083 44.893 81.776,358.852 29.200 359.181,0.000 0.000 0.000,0.000 0.000 0.000,303.621 313.299 19.471,358.255 282.483 3.052,0.000 0.000 0.000,354.069 16.133 0.997,32.341 1.515 1.390,0.000 0.000 0.000,0.000 0.000 0.000,357.529 17.461 7.206,33.154 358.410 358.513,0.000 0.000 0.000,0.000 0.000 0.000
2.633186,-0.033771 1.034987 -0.007428,357.271 346.097 1.803,3.384 5.517 1.013,0.000 0.000 0.000,2.557 16.396 2.934,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.961 45.797 82.152,358.851 29.220 359.180,0.000 0.000 0.000,0.000 0.000 0.000,302.690 312.040 20.217,358.245 283.929 2.982,0.000 0.000 0.000,353.578 15.974 0.926,32.967 1.558 1.431,0.000 0.000 0.000,0.000 0.000 0.000,357.258 17.263 7.153,33.399 358.393 358.496,0.000 0.000 0.000,0.000 0.000 0.000
2.666451,-0.033771 1.034987 -0.007428,357.323 346.255 1.942,3.380 5.749 1.056,0.000 0.000 0.000,2.366 17.773 3.613,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.428 45.598 82.323,358.876 28.417 359.210,0.000 0.000 0.000,0.000 0.000 0.000,300.723 311.650 21.750,358.226 287.767 2.795,0.000 0.000 0.000,353.394 15.878 0.790,33.209 1.575 1.447,0.000 0.000 0.000,0.000 0.000 0.000,356.873 17.233 7.050,33.753 358.367 358.471,0.000 0.000 0.000,0.000 0.000 0.000
2.699885,-0.033771 1.034987 -0.007428,357.375 346.416 2.082,3.376 5.985 1.099,0.000 0.000 0.000,2.139 19.164 4.282,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.885 45.400 82.495,358.903 27.600 359.240,0.000 0.000 0.000,0.000 0.000 0.000,298.951 311.245 23.379,358.220 291.717 2.602,0.000 0.000 0.000,353.205 15.779 0.653,33.456 1.593 1.464,0.000 0.000 0.000,0.000 0.000 0.000,356.476 17.201 6.946,34.119 358.340 358.445,0.000 0.000 0.000,0.000 0.000 0.000
2.733165,-0.033771 1.034987 -0.007428,357.421 346.563 2.208,3.371 6.197 1.138,0.000 0.000 0.000,1.909 20.408 4.868,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.395 45.224 82.649,358.927 26.863 359.267,0.000 0.000 0.000,0.000 0.000 0.000,297.572 310.918 24.866,358.226 295.266 2.428,0.000 0.000 0.000,353.032 15.690 0.530,33.682 1.609 1.479,0.000 0.000 0.000,0.000 0.000 0.000,356.114 17.169 6.852,34.455 358.316 358.421,0.000 0.000 0.000,0.000 0.000 0.000
2.766578,-0.033771 1.034987 -0.007428,357.412 347.373 2.493,3.373 6.111 1.122,0.000 0.000 0.000,2.174 19.368 4.219,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.266 44.313 82.499,358.936 26.577 359.277,0.000 0.000 0.000,0.000 0.000 0.000,296.312 312.432 24.877,358.235 297.325 2.327,0.000 0.000 0.000,353.234 14.950 0.215,33.673 1.608 1.479,0.000 0.000 0.000,0.000 0.000 0.000,355.817 16.624 6.606,34.819 358.288 358.395,0.000 0.000 0.000,0.000 0.000 0.000
2.799811,-0.033771 1.034987 -0.007428,357.396 348.184 2.774,3.375 6.029 1.107,0.000 0.000 0.000,2.429 18.322 3.574,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.139 43.399 82.350,358.945 26.297 359.287,0.000 0.000 0.000,0.000 0.000 0.000,295.314 314.316 24.598,358.246 299.268 2.233,0.000 0.000 0.000,353.433 14.206 359.904,33.663 1.607 1.478,0.000 0.000 0.000,0.000 0.000 0.000,355.525 16.073 6.360,35.178 358.261 358.369,0.000 0.000 0.000,0.000 0.000 0.000
2.833174,-0.033771 1.034987 -0.007428,357.375 348.937 3.033,3.376 5.956 1.094,0.000 0.000 0.000,2.656 17.345 2.979,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.023 42.548 82.211,358.954 26.042 359.297,0.000 0.000 0.000,0.000 0.000 0.000,294.624 316.417 24.051,358.259 300.952 2.151,0.000 0.000 0.000,353.615 13.514 359.617,33.654 1.607 1.478,0.000 0.000 0.000,0.000 0.000 0.000,355.259 15.557 6.131,35.508 358.236 358.344,0.000 0.000 0.000,0.000 0.000 0.000
2.866567,-0.033771 1.034987 -0.007428,357.416 348.567 2.857,3.371 6.190 1.136,0.000 0.000 0.000,2.576 17.006 3.341,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.715 41.951 82.190,358.949 26.172 359.292,0.000 0.000 0.000,0.000 0.000 0.000,294.699 315.673 24.407,358.261 301.199 2.139,0.000 0.000 0.000,353.731 13.774 359.783,33.545 1.599 1.470,0.000 0.000 0.000,0.000 0.000 0.000,355.307 15.658 6.241,35.468 358.239 358.347,0.000 0.000 0.000,0.000 0.000 0.000
2.89996,-0.033771 1.034987 -0.007428,357.448 348.256 2.709,3.367 6.388 1.173,0.000 0.000 0.000,2.513 16.715 3.646,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.460 41.449 82.176,358.946 26.289 359.288,0.000 0.000 0.000,0.000 0.000 0.000,294.758 315.043 24.705,358.262 301.408 2.129,0.000 0.000 0.000,353.829 13.993 359.922,33.454 1.592 1.464,0.000 0.000 0.000,0.000 0.000 0.000,355.349 15.743 6.333,35.435 358.242 358.350,0.000 0.000 0.000,0.000 0.000 0.000
2.933105,-0.033771 1.034987 -0.007428,357.479 347.952 2.564,3.363 6.583 1.208,0.000 0.000 0.000,2.457 16.427 3.945,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.213 40.958 82.165,358.942 26.412 359.283,0.000 0.000 0.000,0.000 0.000 0.000,294.813 314.420 24.997,358.264 301.612 2.119,0.000 0.000 0.000,353.924 14.207 0.059,33.365 1.586 1.458,0.000 0.000 0.000,0.000 0.000 0.000,355.389 15.825 6.423,35.403 358.244 358.352,0.000 0.000 0.000,0.000 0.000 0.000
2.966369,-0.033771 1.034987 -0.007428,357.357 347.952 2.435,3.356 6.913 1.269,0.000 0.000 0.000,2.449 15.923 3.510,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.700 41.455 82.206,358.934 26.636 359.275,0.000 0.000 0.000,0.000 0.000 0.000,294.502 313.054 25.307,358.264 301.635 2.118,0.000 0.000 0.000,354.022 14.134 0.207,33.265 1.579 1.451,0.000 0.000 0.000,0.000 0.000 0.000,355.583 15.819 6.591,35.298 358.252 358.360,0.000 0.000 0.000,0.000 0.000 0.000
